text,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,sentiment
Opposition crying because they will lose opportunity to regular brew of black money in name of election from businessmen.,1.0,2.0,3.0,1.0,4.0,Negative
"Many elections are a big headache for general public, waste of many, just for some politicians why people have to suffer. Focus on governance. That is more important.",3.0,5.0,3.0,4.0,2.0,Negative
It's not one nation one election if local bodies election are held later. It's a joke.,3.0,4.0,2.0,3.0,4.0,Negative
All the sensible moves will be opposed by fools.,2.0,4.0,4.0,2.0,3.0,Negative
When aadhar card and demonetization came about critics were crying. Now they have shutup,2.0,3.0,3.0,2.0,3.0,Negative
"Boy you might be young , ww saw a unstable nation from 1992-2010 frequent election loss , waste of time money and political tamasha, a 10 stable years have made Indiia so strong,",2.0,5.0,2.0,3.0,2.0,Negative
"Telangana has voted for different parties, though the election was together. This is a baseless argument that democracy is at risk.",3.0,4.0,2.0,3.0,2.0,Negative
"In most of the countries in the world , they do one election, then why not India. All
Our political parties and our so called great politicians are making us fool by doing this elections every year . This is the time we should stop this",2.0,4.0,2.0,3.0,3.0,Negative
"Is the arguement of the opposition based the assumption ""Indian voters are stupid""",2.0,2.0,3.0,1.0,3.0,Negative
Politicians are always focus on election rather than work and stopping policies for years people will always suffer as we are suffering today. Election are for people not for politicians benefits . One nation one election will benefit people,3.0,2.0,3.0,2.0,4.0,Negative
The thing is opposition is just frightened that they wouldn't able to play fake news and propagandas as they know they will never win as they're not even a drop close to BJP,2.0,3.0,3.0,2.0,4.0,Negative
ONOE absolutely needed. Too frequent elections currently.,3.0,4.0,3.0,3.0,2.0,Negative
"First conduct one exam successfully in just one state in one day, bjp and congress does not do nothing which people want, they just listen to who funds them and sounds like they are tired funding them every year",3.0,2.0,3.0,2.0,4.0,Negative
Your points against the ONOE are unconvincing... Your heading is misleading... You have thrown the individuals intellect while voting into the dustbin... Poor analysis...,2.0,3.0,3.0,2.0,4.0,Negative
In the recent years we have seen how the Election Commission conducts election under this government. Thieves and cheaters have got together.,2.0,2.0,4.0,1.0,4.0,Negative
"Most people in the country wants a theocratic dictatorship with one party, one leader, one religion and one language. Most Indians don't believe in democracy which is a purely Western comcept. Remember Ram Rajya was not a democracy. We want a kattar society like Aghanistan to save our civilization.",2.0,3.0,2.0,2.0,3.0,Negative
2 incidents of people burning women alive happened in India in last week. Can you please cover this topic too. Humanity is getting lost in India.,2.0,4.0,3.0,2.0,4.0,Negative
What happen if MLA or MP dies in middle,3.0,4.0,2.0,4.0,2.0,Negative
Well parties will not may be try to collapse the government mid term as they can't get a full term... So the constant pressure of keeping the government in power when the majority is less will take a back stage.,2.0,4.0,3.0,4.0,2.0,Negative
"Most critical point missed..
One nation and one election is not new to India and was done till 1968..if an Old India could do ..why not new India.",3.0,4.0,4.0,4.0,2.0,Negative
Bro u looking at advantage to bjp but what disadvantages are being put on people by congress look into that.the black money put by the business guys in election will be rotated for other election.and there is big gamble with congress just think of it,3.0,2.0,3.0,2.0,3.0,Negative
You have sold your soul. Shame on you and shame on myself. I was a fan of you once.,3.0,3.0,4.0,2.0,4.0,Negative
it will fucked up the system,2.0,2.0,2.0,3.0,4.0,Negative
I hope Democracy ends. It is our greatest weakness and prevents our growth.,2.0,2.0,2.0,1.0,3.0,Negative
Yes wasting money is not better option rather than change mode regulation.,2.0,5.0,2.0,4.0,2.0,Negative
"Any person with base level iq will understand that. Many state govt and central govt fall before full tenure. 

Making one nation one election a useless idea",3.0,2.0,3.0,2.0,3.0,Negative
"It's another hoax of bjp like demonization or pmcf... It'll do nothing good  as per people's life but will make sure autocracy... One who can't see bjp's gluttony for power or for sake of the power what they can, they know this is just another hoax of paw paw...",2.0,2.0,3.0,2.0,4.0,Negative
"We actually started our democratic path under One Nation One Election,then in different states due to political instability governments started falling apart and now we are here that every year in some part or the other of the country election is happening",3.0,3.0,4.0,2.0,3.0,Negative
Democratic dictatorship is the way to go. INDIA needs it badly. Hinduism and secularism must reign supreme in INDIA.,3.0,4.0,4.0,2.0,3.0,Negative
You wre too much worried of mid term election unnecessarily.,2.0,3.0,3.0,3.0,2.0,Negative
"This is a big dip into the chaos, and will lead ro disaster and distruction of ancient identity of languages down south...",3.0,2.0,4.0,2.0,4.0,Negative
You dont prefer fast and efficient you want corrupt and fat beurocracy.,2.0,2.0,2.0,1.0,1.0,Negative
You are not speaking complete truth while explaining the policy paralysis portion. It is half truth as is being spoken by the supporters of ONOE.,3.0,4.0,3.0,3.0,3.0,Negative
Bro very poor arguments,3.0,2.0,3.0,3.0,4.0,Negative
"Sure, the transition is challenging and needs to be done smoothly. But the pros outweigh the cons clearly. Also, all arguments against the One Nation One Election policy has a lot ""ifs"" and ""buts"" being quite speculative on what might happen.",3.0,4.0,3.0,4.0,2.0,Negative
"Perennial elections is not acceptable. All these are simple problems and can be easily overcome. Don't worry. Where there is a will, there is a way.",3.0,5.0,4.0,5.0,1.0,Negative
"Maybe we can just go with the mp and mla synchronisation, tweak the mcc and leave the local body election and state election as it is.   

We are a democracy compromise is a way of life for us . I don't think one nation one election will work as efficiently as we are guided to see.",3.0,4.0,3.0,5.0,2.0,Negative
"In democracy every thought process has two sides one is positive and other is negetive, ONOE has its disadvantages but after 2-3 elections people will understand the system and process and so on larger not it will be game changer for India.",3.0,4.0,3.0,4.0,2.0,Negative
We all are destroying our country,3.0,2.0,4.0,2.0,4.0,Negative
Its hard to develop india as people are not stable and vote based on emotions rather voting based on data.,2.0,3.0,3.0,3.0,4.0,Negative
"This could centralize power in the ruling party, which may not be suitable for our country, as corruption is deeply rooted in our systems today. It could also reduce government accountability over a full five-year term, potentially fueling corruption further.",2.0,4.0,3.0,3.0,4.0,Negative
Accountability that comes with multiple elections is very important. ONOE is not good for democracy,3.0,5.0,4.0,2.0,2.0,Negative
"I support One Nation One Election. The pros here outweigh the cons. Yes there are challenges that we can overcome with practical experience. But there is no relationship between Cauvery water dispute, farmer distress, unemployment with ONOE.",4.0,5.0,3.0,3.0,2.0,Negative
Poorly researched and disagree with your conclusion,3.0,4.0,3.0,3.0,4.0,Negative
Democracy itself becoming main hurdle in development of country.,2.0,3.0,3.0,2.0,4.0,Negative
Please stop banging the table it's really distracting.,3.0,5.0,2.0,4.0,2.0,Negative
"Very poor arguments by opposition. Whichever way you conduct Tamil Nadu elections, bjp doesn't win a single seat in lok sabha. Orissa assembly votes along with lok sabha. For years, two different results came out. 
It's just opposing just to be on news. I hope the bill is passed by this year",2.0,4.0,3.0,2.0,3.0,Negative
"One of the worst analysis ever. Do we even call it analysis when it's full of propaganda. 

It's becoming too much. Just unsub.",2.0,3.0,4.0,1.0,5.0,Negative
"Maturity when you realise opposition doesn't think like how this youtuber think, bjp is best",3.0,4.0,2.0,3.0,2.0,Negative
"Illogical analysis, worst episode of think school till date.",2.0,3.0,3.0,2.0,4.0,Negative
Politics is so confusing I cannot understand the case study..,3.0,2.0,2.0,3.0,4.0,Negative
It is a bad idea to have 1 election policy,3.0,4.0,3.0,3.0,2.0,Negative
I absolutely agree with one nation 1 election it was very important but sadly opposition opposed it,3.0,4.0,3.0,3.0,2.0,Negative
"This needs to be done but the thing is we can't believe these filthy politicians, if its not the constitution they might had destroyed the country internally.",3.0,2.0,3.0,2.0,4.0,Negative
"BJP plan is to take whole country for granted for 5 years...
People should keep quite for 5 long years...


Whether it is congress or BJP in power, people will loose their voice...

Very BAD IDEA of modi....",3.0,2.0,3.0,2.0,4.0,Negative
We should all work towards the national growth and accept one nation one poll. There may be some disgruntled parties but we should be ready to make few initial changes,2.0,4.0,3.0,4.0,2.0,Negative
"State and Central election should be saperated by 2.5 year. This preserves democracy. Dont trust Modi blindly, he is trying hard to preserve his power",3.0,4.0,3.0,3.0,4.0,Negative
one nation one election is the need of the hour..... opposition is worried about loosing both the electiion simultaneously.....because they know bjp has the capacity to handle things simulatisly which oppostion cannot....,2.0,4.0,3.0,2.0,3.0,Negative
Indians never realise that Modi merely took credit of Manmohanomics and the most important fact is that they out right begin abusing when someone justifies his her point,3.0,3.0,4.0,2.0,3.0,Negative
Argument that national issues overshadow state issues is partly incorrect because people are not that dumb they know what they want in central and state,2.0,3.0,3.0,3.0,2.0,Negative
"You showing the last TMc leader 
Are even his comments even taken into heed 
Last time he was seen doing a skit outside of parliament mocking Modi 
A MP 
He is not a professional clown mind that",2.0,4.0,3.0,2.0,3.0,Negative
What happens when the centre is not in majority similar to 90s. If that is the case then there will be frequent elections costing nearly same amount of money spent now.,3.0,3.0,2.0,3.0,2.0,Negative
People who are saying this will finished regional party need some history lesson. The sole reason for Indira Gandhi to conduct election differently is that regional party gets more seat in parliament. More than they deserve or should.,3.0,4.0,3.0,2.0,3.0,Negative
"The argument that the local issues may get silenced, in my opinion is vague. Because local problem still gets overseen even with the current  system we have.

No political party truly cares about farmers and daily wage earners anyways.",3.0,3.0,3.0,2.0,4.0,Negative
India lost Freedom in 2014 itself... GDP increased by 5Trillion Dollar by Demonetisation... This modi the idiot who written off 24 lakh cr to his corporate friends now talking about 7000 cr saving by this bloody election drama..,2.0,2.0,4.0,1.0,4.0,Negative
The disadvantage of this bill is that development will stop at a standstill. As the government starts doing developmental projects only during election. Otherwise they will ignore till another election.,2.0,2.0,3.0,2.0,3.0,Negative
I can see the frustration on your face for not winning the social media prize,3.0,3.0,4.0,3.0,4.0,Negative
"Opposition to one nation one election is stupid. If it saves public money, it should be done by hook or crook.",2.0,3.0,3.0,2.0,3.0,Negative
BGM is annoying. When you listen this video with headset.,3.0,3.0,2.0,4.0,2.0,Negative
"Please cover the topic that how to escape the necessity to live our lives in a loop.
I m 16 and I don't want to live lika zombie.",3.0,2.0,3.0,4.0,4.0,Negative
"Current oppositions lost their credibility of bringing any issue that actually appeals for the masses. More and more internet based media is penetrating every household, they are losing their ground rapidly.",2.0,4.0,3.0,2.0,3.0,Negative
"You missed the economics and costs of one election, like 800000 new EVMs just for comparison.

Also please add a sound deadning to your Mic arm and a cage on mic to avoid the Table thumb throughout this video.",3.0,4.0,3.0,4.0,2.0,Negative
Anything which is in the favor of nation or people of India will be opposed by Congress and its Allies that's the norm nowadays.,3.0,2.0,3.0,2.0,4.0,Negative
Democracy is biggest weakness of bharat.,3.0,2.0,3.0,2.0,4.0,Negative
it's a disaster indeed. as if these useless politicians work daily when moral code of conduct is not there. they are just cowards of losing next elections,2.0,2.0,3.0,2.0,4.0,Negative
its a challenge to party in rallies cause they cant contradict thier policy in different times and also same thing cant be said by cm and pm candidate in one rally. No more jod tod ki sarkar and horsetrading. POLICY OVER POLITICS please,3.0,5.0,3.0,5.0,2.0,Negative
"One nation one election is beneficial for time and money saving but not great for Democracy, I think.",3.0,4.0,3.0,4.0,2.0,Negative
"it will reduce fragmentation, this will ensure powerful center gov which is must for the country so fragmented, divided amd bane od highly diversified.",3.0,5.0,3.0,3.0,2.0,Negative
"When Dictatorship is near future,it is easy for Modi to stop 1 election instead of multiple elections because bjp will tell every elections they are winning so there is no need of election and parliament will be bjp party office. Feeling sad for us and for future.",2.0,5.0,4.0,3.0,4.0,Negative
We get tired during morning walk for health is wealth.,3.0,4.0,2.0,4.0,2.0,Negative
There are 8 national parties. Please  rectify the mistake committed.,3.0,5.0,2.0,4.0,2.0,Negative
"In initial years of independence, everything was fine but now it seems impractical. Let's see what happens after new initiative of One nation, one election.",3.0,4.0,2.0,4.0,3.0,Negative
"Nothing is left to comment, but troublemongers would lose their jobs.",2.0,4.0,3.0,2.0,2.0,Negative
"Divisionary tactics used by the present government to cover their failures and communal governance, fascist behaviour.",3.0,2.0,4.0,2.0,4.0,Negative
Your ideas are bad take bsnl,2.0,3.0,2.0,2.0,4.0,Negative
"I don't want you money my jesus and daily bread is enough, did you feed my father more than do roti....",3.0,4.0,2.0,5.0,2.0,Negative
The govt wont have money to conduct one election at one time. They struggle even for a state election......yaatt,3.0,2.0,3.0,4.0,4.0,Negative
Democracy took its natural turn and broke out of simultaneous elections in 1967. Sometimes reality corrects the situation by itself in the face of unsustainable rigidity.,4.0,3.0,3.0,3.0,2.0,Negative
"From project approvals to passport background checks, from govt giving freebies to legislators always worried about elections, we can get rid of all the problems.",3.0,2.0,3.0,2.0,3.0,Negative
"Very confusing for people to vote for national as well as state or regional issues and most importantly if there are hung assemblies they will have to wait for next five years for voting
Doesn't make any sense in our country",2.0,4.0,3.0,4.0,3.0,Negative
A baby  born in pain  will  cry out  loud,2.0,2.0,4.0,3.0,4.0,Negative
First of all india should be a pure capitalist country then only competition will rise and GDP will skyrocket. Socialism doesn't motivate youth because of government jobs obsession and lots of safety nets provided by govt schemes.,2.0,5.0,3.0,3.0,2.0,Negative
"It's really urgent needs for india, ppl money, time , groth of nation is being impacted due to multiple time election .",3.0,4.0,4.0,3.0,4.0,Negative
"U missed the biggest con Madam, Netas will not show their face for 5 years then.. Situation will remain pathetic for 4 years and 1 year before elections we will feel heaven",1.0,2.0,2.0,3.0,4.0,Negative
Useless palki....talk on inflation and unemployment..shameless journalist..puppet of BJP and RSS,2.0,2.0,3.0,2.0,4.0,Negative
"Yeah. Now they'll beg for votes for 2 months
 Then neglect the public for the next 5 years.
And then come again for begging on election month .",2.0,2.0,3.0,2.0,4.0,Negative
Supreme leader is getting tired visiting every street at every election.,3.0,4.0,3.0,3.0,3.0,Negative
"The main dis-advantage is... Pm can spend gis time in office as all these years he did more campaign and less governance.
advantage is ..  easy to control all counting booths and make sure modi ji wins every time.",2.0,2.0,3.0,1.0,3.0,Negative
"Too many states, too many region, too many parties, too much diversity and hence very inefficient",2.0,5.0,2.0,3.0,2.0,Negative
"OMG seening the comments, it's very sad how our young generation understand our democracy. Very sad ... simple question  if a government loss majority in between the term what happened...",3.0,2.0,3.0,2.0,4.0,Negative
"No  .second if a former president  accepts this ,it is a disgrace to president post..he should reject this.. it will be down grading his dignity.. it seems govt is intentionally  selected covind degrade dalits",3.0,5.0,4.0,3.0,2.0,Negative
This is not practical and i am sure it will back fire and damage Sanghis,3.0,2.0,3.0,2.0,4.0,Negative
"No like hell.. I rather have China inn ..

Indians rss cannot be trusted",2.0,2.0,3.0,1.0,3.0,Negative
Enough  of the  stupidity  of  last year  one  country  needs  one  election,2.0,2.0,3.0,2.0,3.0,Negative
"Should extend present state govt. to conitnue , they cant be taken off just for one nation one election by removing rest of the time period if the cause is genuine , BJP is afraid of loosing..People should not vote them again to save democracy",3.0,4.0,3.0,2.0,4.0,Negative
Politicians has no right to override Elections commissioner.   Next it will over ride judiciary and will be called dictatorship.   Already the dictator is popping up.,3.0,4.0,3.0,2.0,4.0,Negative
There will be panchayti rajya system was collapsed,2.0,3.0,2.0,2.0,3.0,Negative
"Its not a good idea for Indian democracy. However state elections should be held countrywide at the same time. And ban post poll alliances or break of alliances. 
Hold state elections every 2 years from loksabha elections.",3.0,5.0,3.0,4.0,2.0,Negative
Is a joke or what,3.0,3.0,3.0,3.0,2.0,Negative
"One nation one election not possible ,, because of security reason,, naughty boy would create problems",3.0,4.0,2.0,3.0,3.0,Negative
"One Nation One Election is not at all a sustainable model,,,,,,

Who said these idiots to come and campaign for all state assembly elections also,,,,that is their problem",3.0,2.0,3.0,2.0,3.0,Negative
"Ah, what to expect of a leftist of one nation one election. Their pocket will be empty cause thr master of theor will not pay them now.",2.0,2.0,3.0,2.0,4.0,Negative
No.There are so many issues that the center will never understand.,2.0,3.0,2.0,3.0,4.0,Negative
"I very much support one election. It cuts the cost of hiring election officials, also since officials are government servants it will reduce the loss of working days. For candidates, the tendency to contest an election while holding office will reduce",3.0,5.0,3.0,4.0,2.0,Negative
But Johnny n abdul will always doubt.,2.0,3.0,3.0,3.0,4.0,Negative
The neglected and set aside ex President of BJP what he can do for India Should kept mum as it is unpracticable and not required as the BJP trying to spend in vain not money,2.0,2.0,1.0,2.0,3.0,Negative
"The cons are all BS just scare mongering only .Yes regional parties will be wiped out which is OK because it seems silly that a,party like DMK or TMC having no presence outside their states shud send representatives to speak on national issue about which they  know nothing .",2.0,3.0,3.0,2.0,2.0,Negative
"Its not about money ,power or security of election .its mockery in the name of democracy when Bjp will buy more mla mp .put opposition into jail .destroy local party of state ..its not good",2.0,3.0,2.0,2.0,3.0,Negative
"Any one who comes as majority then they can have dictator and change constitution , change rules destroy states power , so its dangerous .. Religious groups like come to majority and secular state into religious state ..its worst form of democracy",2.0,3.0,2.0,2.0,4.0,Negative
"I don't know how Ramnath Kovind is qualified to head the panel, this is a ridiculous law and a big goof up again by the BJP for political exigency.",3.0,3.0,3.0,2.0,4.0,Negative
"Politician are not accountable for their action go scot free,thus the citizens suffers",2.0,2.0,3.0,2.0,4.0,Negative
"I support this, tired with Elections everyyear in India",2.0,3.0,2.0,3.0,2.0,Negative
Educating the new Gen about why the vote multiple times is a stupid point Palki... They anyway ask when they vote for centra and state even when it's few months apart... Don't give bs points just to create length in your presentation,3.0,4.0,3.0,2.0,2.0,Negative
There are bottlenecks but I am sure the present government shall be able to find a way out.,3.0,4.0,3.0,4.0,2.0,Negative
IMMEDIATELY NEEDED. NO QUESTIONS ABOUT IT.,2.0,5.0,4.0,2.0,2.0,Negative
"One nation one election , can be dictatorial at times, if huge majority is given to a party.",3.0,3.0,3.0,3.0,3.0,Negative
A Last - Minute frenzy of fear of losing upcoming Lok Sabha election ..,3.0,2.0,4.0,2.0,5.0,Negative
A Last- minute frenzy of fear of losing the upcoming Lok Sabha election.,3.0,2.0,4.0,3.0,5.0,Negative
This comment section is full of idiots... Obviously no,3.0,2.0,4.0,2.0,4.0,Negative
Just for diverting attention of 2024 voters BJP unfulfilled promises for the past ten years. No Use for poor Indisns,3.0,2.0,3.0,2.0,3.0,Negative
"Why don't you speak about the benefits the political people get..
I mean if a person is MP then he also enjoys MLAs benefit..why should they...why they dt just get what they are...why additional bonus benefit...why waste of money and resources...after all it's people's money.",3.0,5.0,3.0,2.0,4.0,Negative
"Vanakkam Palki wishes from Chennai i strongly condemn this BJP agenda , India is like an apartment don't try to impose like one house it will lead us dividing between us, This shows that rss always works against the common and middle class people",3.0,3.0,4.0,2.0,3.0,Negative
Do they really care about tax money or worry about their money pouring again and again in elections promotions.,2.0,3.0,4.0,2.0,3.0,Negative
More scam  will happen  from majority  nation from  Hindu  and Muslims,2.0,2.0,3.0,1.0,4.0,Negative
"One nation, 1 election, a bill pass hogaya ... I.N.D.I.A. alliance will be broke out ... Everyone busy in their own state",3.0,2.0,3.0,4.0,2.0,Negative
"""You campaign once in 5 years, and that's it. The rest of the time, you work... IDEALLY.""   "" IDEALLY ""  it is not realistic they do work only when there is election in  any other time they don't",3.0,5.0,2.0,3.0,2.0,Negative
Waste of time. Modi should cancel the election and focus on development. Ignore if foreigners criticize.,2.0,4.0,2.0,3.0,2.0,Negative
"if we agreed to one election it will create total mess when power need to shift to other  party....all party will lose accountability , and in very long run may lead to power struggle and create vaccume for junta",2.0,5.0,3.0,2.0,4.0,Negative
Also people should be able to vote in any booth they can.. Because sometimes its difficult to travel from workplace to native place..,3.0,4.0,2.0,4.0,2.0,Negative
"I was with you till the last line. In a state like india, consensus could be a tough ask, especially with a fragmented and malevolent opposition.",3.0,4.0,3.0,4.0,2.0,Negative
He was a rubber stamp. He doesn't know about one nation and one election...it will not work out ..they want to mess of democracy ....whatever they think will be failure for democracy only,2.0,3.0,2.0,3.0,4.0,Negative
"if it can be executed efficiently and quickly, why not. but during any global election, the country briefly becomes very vulnerable to outside interference.",3.0,4.0,3.0,4.0,3.0,Negative
"Always anything have advantage and disadvantage
But one nation one election give stability and reduce internal instability and my suggestion we need presidential election like USA BECAUSE we don't want coalition government, coalition government big danger than china",3.0,4.0,3.0,3.0,2.0,Negative
All the money wasted on three different campaigns will be pushed into one campaign.,3.0,5.0,2.0,4.0,2.0,Negative
I WILL DIVIDE INDIA like  EU. Idea is that india need to counter china. It cant be done like current monolithic where north indians leeching india's resources,3.0,4.0,4.0,2.0,4.0,Negative
"Point 2 from palki is absolutely wrong there is not enough security in the country, Violence breaks out every where how do you curb this if security forces are spread throughout the country",2.0,3.0,4.0,3.0,4.0,Negative
"No pros only cons
As on today politicians are beyond our reach
If jamlee is made they will become dictators and become tyrants.
It will become fools and idiots parliament and also politics too.
Say no to jamlee",2.0,5.0,2.0,2.0,4.0,Negative
India is a union of states. Modi cannot keep on playing his dictatorship game. India is ranked at the bottom in terms of media freedom. We're slowly transitioning to a dictatorship.,3.0,2.0,4.0,2.0,4.0,Negative
Govt is spending too much expenditure in election. Govt have to find ways to reduce cost of conducting election. One nation one election may be it will curved expenditure to some extend but many disadvantages and difficult to implement.,3.0,4.0,3.0,3.0,2.0,Negative
One nation one election is not good for states people nobody going to focus on state problems they gonna focus only on central its bad idea,3.0,3.0,4.0,2.0,2.0,Negative
"Yes at least lok sabha and vidhan sabha should be held together. Exams postponed because of this shit so many times, huge money spent every time unnecessary advertisement and shor shraba. It is not good for students plus holiday should be given",3.0,5.0,3.0,5.0,2.0,Negative
"One way or the other, the Government looses billions of Rupees in corruption, mismangement of schemes's money, donations, etc. And now the only excuse of loosing money is during elections. What a joke. BJP will do anything to stay in power.",3.0,2.0,4.0,2.0,3.0,Negative
"Frequent elections keeps politicians on their toes. If this stops, they'll not even be seen for 5 years straight. Multiple separate opportunities to vote allow us citizens to have leverage over politicians, which we stand to lose.",3.0,5.0,4.0,2.0,2.0,Negative
"No need for this 
Power corrupts absolute power corrupts absolutely",3.0,2.0,3.0,2.0,3.0,Negative
"Yes, it's high time that we had one election. I'm sick of this multiparty nonsense that leads to getting nothing done and only leads to bureaucratic delays.",3.0,4.0,3.0,3.0,2.0,Negative
One. Nation one election simultaneously is  impractical and it goes against the federal spirit of our Constituition.,2.0,4.0,2.0,3.0,2.0,Negative
Political parties will oppose because of not being able to do politics throughout the 5 years which is their fulltime job and not actually working for people,2.0,4.0,3.0,3.0,2.0,Negative
It kills decomocracy..,2.0,2.0,3.0,2.0,4.0,Negative
Yes. Opposition are scared as they will not exist.,2.0,5.0,2.0,1.0,4.0,Negative
"Dangerous move one nation one vote . For god sake they don't even treat Sikhs ,Muslim ,Christian , other equally .


I hope you don't mind me saying the rss modi is not good.

No wonder China keeping it's land . India has no rights .",2.0,3.0,3.0,2.0,4.0,Negative
"It's bad decision , We must hold a general election first, then conduct all state elections in a 2.5-year gap.. Otherwise , people will be in confusion.",3.0,5.0,3.0,4.0,2.0,Negative
"Nothing works through consensus in this country.  We still have Colonial mindset. Unless it's imposed people don't follow including traffic signals.
So consensus is not always best for nation as populated as us",3.0,2.0,3.0,2.0,4.0,Negative
"Very very horrible idea. Presently there is some control on dictatorship due to Rajya Shabha. Once this happens, Central government will get dictatorial rights for 5 years",2.0,2.0,3.0,2.0,4.0,Negative
Its simply impartial at present. One nation one election is another big headline to divert people from other issues.,3.0,2.0,2.0,4.0,2.0,Negative
"ABSOLUTELY YES
End the pointless electioneering every year and nord more focus in governance.",2.0,5.0,3.0,4.0,2.0,Negative
"Regional issues like Roti,Makaan will be neglected if both national and state elections are conducted simultaneously.  Only National Issues will be highlighted.",3.0,4.0,3.0,4.0,2.0,Negative
Much confusion may facilitate corruption in the election.,3.0,2.0,3.0,2.0,4.0,Negative
"One election is a must to get rid of politics related appeasement all around the year, riots, and unnecessary political clamor.",2.0,4.0,3.0,2.0,3.0,Negative
Indian Media is certainly at loss as they won't get chance to show dramas and earn trps every 6 months.,2.0,3.0,3.0,2.0,4.0,Negative
one nation one election and one time investment for 5 years and ignore .. and see people  after 5 years only ..,3.0,4.0,3.0,3.0,2.0,Negative
"Simultaneous elections to Parliament, State Legislatures and local bodies is welcome. However, the corrupt Indian voters may not appreciate it as they are addicted to Rs.2000 and alcohol bottles.",3.0,2.0,2.0,2.0,4.0,Negative
lets appoint a dictator and save lot of money and lives lost in election . why to vote when result is always the same .,2.0,2.0,3.0,2.0,3.0,Negative
This will be a remarketble decision in oder to reduce not only the huge financial burden on India economy but also avoid a lots of problems in India.,3.0,5.0,3.0,4.0,2.0,Negative
"Even conduct for a single state election not satisfactory,..election for national in a single day would be massive failure and disastrous and would invite a bloody consequence.",2.0,5.0,3.0,2.0,4.0,Negative
how big drama it is the leaders we are being ruled by ...dont know our language still we are compromising to listen to them....,2.0,3.0,3.0,2.0,4.0,Negative
Amithsa speech is not acceptable.,3.0,4.0,2.0,2.0,4.0,Negative
yaaaaaaaaaaaaaaaaaaaar why does he always start acting like such an absolute moron in front of the prime minister,3.0,2.0,4.0,2.0,4.0,Negative
"Both parties are wrong. We need unity with unity we achieve greater things.

Also decipline even if you are poor or rich. If we have decipline we can advance.

Please don't mention religion it only spreads division.",3.0,5.0,3.0,5.0,2.0,Negative
"Thats why we need educated minister like Rahul gandhi Congress unlike Modi speaking two lines LOL how illiterate he is...
To be honest my whole family of 13 members vote for BJP but now we all will vote Congress or Kejriwal but not BJP for sure...
India will be doomed if its in modi hands ...",2.0,3.0,4.0,2.0,4.0,Negative
For god damn change om birla he seems so rude and can't digest the opposition winning discussion,2.0,3.0,4.0,2.0,3.0,Negative
India will forever be stuck in religion matters...I feel sad,3.0,2.0,2.0,3.0,4.0,Negative
These mfs get paid for doing this. Wow. My taxes go to waste.,3.0,2.0,3.0,2.0,4.0,Negative
The arrogance of Rahul Gandhi is seriously dangerous.,2.0,2.0,3.0,2.0,4.0,Negative
"Fight on the name of religion 
The sad reality. 
Modi is just getting votes cuz of hindu religion.",2.0,2.0,3.0,2.0,4.0,Negative
Title has nothing to do with the content. Can you please change it else it certainly misleads.,3.0,5.0,3.0,4.0,3.0,Negative
Pure foolish speaker of India... Right to speech is under Indian constitution.... Remove outdated old speaker,3.0,2.0,3.0,2.0,4.0,Negative
"When he is not respecting Hindus why should we respect him. Who his he, having 2 citizenship,  talking bad about India in abroad,  insane rahul",2.0,2.0,3.0,2.0,5.0,Negative
"He is an accidental hindu..he is an accidentally got 99 seats...
If he doing like this rather focus on useful things, coming elections his won't be succeeded.",2.0,2.0,3.0,3.0,4.0,Negative
Strong opposition yes but foolishness should not be permitted.,3.0,5.0,3.0,3.0,2.0,Negative
This balak is talking bullshit in the August forum of parliament. It is insult of parliament. He should be stopped by the chair.,3.0,4.0,4.0,2.0,3.0,Negative
so many illiterates in the comment section -thinking they are educated - i am not giving any political view but a strong democracy is to talk on logical things---not bragging about anything i laughed at the comments BUT IT IS SCARY AT THE SAME TIME-THAT MANY PEOPLE DON'T KNOW REALITY,2.0,4.0,3.0,2.0,4.0,Negative
"They should speak like that everytime in the parliament but what's the point if you only speak , like that , once in a decade.  If you are going to speak with common sense then you should also oppose with common sense not like shouting ,that you have been doing for last decade.",3.0,5.0,3.0,3.0,2.0,Negative
Rahul should speak in Hindi because Modi can't understand even a single word which the Rahul speaks.,3.0,2.0,3.0,2.0,3.0,Negative
India desperately needs Dawood Ebrahim to control The BJP and RSS hate campaign against minority Muslims immediately.,2.0,2.0,3.0,2.0,4.0,Negative
"You are not a hindu. But took all money from poor people and escaped. You are not a hindu. You are a mixed of muslim, christian and hindu.",1.0,1.0,2.0,1.0,5.0,Negative
Once Mental he never wants to come out of that.,2.0,1.0,2.0,3.0,2.0,Negative
Dear modi g.why are you talking to this traitor.he is a criminal.,1.0,3.0,4.0,1.0,2.0,Negative
Rahul did not discuss real issues in the country. He looses the focus of taking opportunity to highlight most important things,3.0,4.0,3.0,3.0,2.0,Negative
Rahul gandhi har bar bato ko gol gol ghumane ki koshish karta hai. Congress was corrup. Is corrupt and will remain corrupt.  No congressss,1.0,2.0,3.0,1.0,2.0,Negative
"Rahul not a human and venu ,is lagging for the fool,",3.0,2.0,1.0,2.0,4.0,Negative
BJP is the worst thing happened to India,2.0,2.0,3.0,2.0,4.0,Negative
BJP get lost. Let the congress reign,3.0,2.0,4.0,3.0,2.0,Negative
They can ask vote in the name of religion ...but they can't show religious picture in the assembly ..wah fools fools fools scared fools ..morons,2.0,2.0,4.0,1.0,4.0,Negative
